tres,eq,conc,temp,E-factor,STY
1.45,2.04,0.165,60.5,5.15,370
1.24,2.43,0.361,64.8,2.06,2080
0.81,4.59,0.484,71.6,1.94,6690
0.69,1.97,0.141,74.7,7.07,500
1.49,3.31,0.194,79.4,2.03,1140
1.04,1.27,0.334,80.7,1.89,1790
1.96,3.19,0.229,84.2,1.37,1280
0.98,4.05,0.456,88.8,1.44,5780
1.66,4.75,0.214,92.2,1.76,1580
1.74,3.43,0.425,97.1,1.08,3190
1.27,1.73,0.111,103.9,1.98,540
1.58,1.44,0.264,105.1,0.75,1620
0.59,3.7,0.388,111.6,1.35,7910
1.17,3.84,0.4,115.2,1.23,4500
0.74,4.37,0.248,116.3,1.61,4100
1.82,2.73,0.134,122.6,1,870
1.92,4.96,0.313,124.8,1.68,2130
0.88,1.12,0.295,132,0.63,3130
1.35,2.91,0.357,134.5,0.86,3480
0.53,2.28,0.465,139.4,0.72,10780
0.5,4.09,0.5,111,1.48,12280
0.97,1,0.5,140,0.33,5710
0.5,1.34,0.5,140,0.52,10800
0.64,1,0.5,140,0.44,8010
2,1,0.5,129.1,0.25,2940
0.5,2.29,0.5,137.8,0.72,12400
0.81,1.07,0.5,140,0.36,6850
1.18,1,0.5,140,0.29,4850
0.5,2.89,0.5,140,0.91,12760
0.5,1.78,0.5,140,0.6,11680
0.6,1.19,0.5,140,0.46,8970
0.69,1,0.5,140,0.42,7510
1.27,1,0.5,121.5,0.42,4090
1.02,1.19,0.499,126.7,0.4,5420
0.75,1.43,0.5,129.7,0.47,7630
0.61,1.43,0.5,130.6,0.55,8890
1.8,1.1,0.5,140,0.27,3340
0.77,1.33,0.5,140,0.39,7660
1.52,1.09,0.5,140,0.25,3960
0.5,2,0.5,140,0.63,12100
0.92,1.22,0.5,139.9,0.36,6360
0.5,4.51,0.5,140,1.5,13080
0.61,1.56,0.5,140,0.5,9550
1.08,1.14,0.5,140,0.33,5370
0.5,3.19,0.5,140,1.01,12910
0.5,2.58,0.5,140,0.8,12650
1.05,1,0.5,140,0.31,5340
1.32,1,0.5,140,0.27,4370
1.88,1,0.425,134.5,0.3,2540
1.73,1,0.46,137.9,0.26,3100
1.6,1,0.49,139.8,0.26,3580
0.53,1.23,0.5,140,0.49,10010
0.5,4.7,0.5,140,1.57,13120
0.5,1.6,0.5,140,0.56,11390
0.62,1,0.499,140,0.46,8010
0.92,1,0.5,140,0.34,5950
1.79,1,0.5,140,0.25,3290
0.7,1.37,0.5,140,0.42,8300
1.62,1,0.5,140,0.24,3650
0.93,1.13,0.5,140,0.32,6240
1.26,1,0.5,134.1,0.32,4420
1.41,1,0.5,134.2,0.29,4030
0.5,2.2,0.5,139.4,0.69,12340
0.5,2.49,0.5,139.6,0.78,12550
0.5,3.01,0.5,140,0.95,12830
0.5,2.76,0.5,140,0.86,12760
0.5,3.28,0.5,140,1.03,12990
1.12,1,0.5,140,0.3,5030
